drug,gene_name,mechanism,esm_lr_auroc,rank,total_genes,percentile,imputed_esm_lr_auroc,imputed_rank,imputed_total_genes,onehot_determinant,onehot_auroc,esm_minus_onehot,imputed_minus_onehot,prevalence,n_pos
cefotaxime,blaKPC-2,acquired,0.5,2523,2816,10.440340909090907,0.5994900076544963,1353,2821,Bla Carb (acquired),0.8402312783806665,-0.34023127838066647,-0.24074127072617013,0.1415153412648716,224
cefotaxime,blaCTX-M-15,acquired,0.4993373094764745,2548,2816,9.552556818181824,0.7424112124537733,342,2821,Bla Carb (acquired),0.8402312783806665,-0.340893968904192,-0.09782006592689318,0.3168440826549781,503
cefotaxime,blaOXA-1,acquired,0.4988200589970502,2568,2816,8.842329545454541,0.6539810297603129,892,2821,Bla Carb (acquired),0.8402312783806665,-0.3414112193836163,-0.18625024862035355,0.2154038822792736,339
cefotaxime,blaSHV-11,acquired,0.4982456140350877,2608,2816,7.421875,0.5130576023904163,2358,2821,Bla Carb (acquired),0.8402312783806665,-0.34198566434557875,-0.32717367599025016,0.2986850344395742,342
cefotaxime,blaTEM-1,acquired,0.4640100032619332,2800,2816,0.6036931818181768,0.7454810804828789,328,2821,Bla Carb (acquired),0.8402312783806665,-0.37622127511873327,-0.0947501978977876,0.3494051346274264,541
cefotaxime,blaSHV-28,acquired,0.4531346989447548,2805,2816,0.42613636363636465,0.574378879123514,1590,2821,Bla Carb (acquired),0.8402312783806665,-0.3870965794359117,-0.2658523992571524,0.1177207263619286,179
cefoxitin,ompK36,mutation,0.856925048910477,2,2807,99.96437477734236,0.6716921111021281,593,2807,Omp (mutations),0.8356817905575524,0.02124325835292462,-0.1639896794554243,0.274,305
cefoxitin,ampC,mutation,0.7842930269425369,37,2807,98.7174919843249,0.6613790300123068,680,2807,Omp (mutations),0.8356817905575524,-0.05138876361501554,-0.17430276054524563,0.38,477
cefoxitin,ampH,mutation,0.6871213430609125,576,2807,79.51549697185607,0.6922666208532083,449,2807,Omp (mutations),0.8356817905575524,-0.14856044749663988,-0.1434151697043441,0.9445,1057
cefoxitin,ompK37,mutation,0.6702757276145385,696,2807,75.24047025293909,0.679379901366319,530,2807,Omp (mutations),0.8356817905575524,-0.16540606294301397,-0.15630188919123345,0.9095,1002
cefoxitin,ompK35,mutation,0.5676992595818815,1526,2807,45.671535447096545,0.761876689932717,66,2807,Omp (mutations),0.8356817905575524,-0.26798253097567093,-0.07380510062483547,0.5,328
cefoxitin,blaSHV-1,acquired,0.5099329586907226,2505,2807,10.794442465265409,0.5347862263184844,2075,2807,Bla Carb (acquired),0.8496249413970932,-0.3396919827063706,-0.31483871507860883,0.1435,126
cefoxitin,blaOXA-9,acquired,0.5074626865671642,2535,2807,9.725685785536164,0.6663326101993334,644,2807,Bla Carb (acquired),0.8496249413970932,-0.342162254829929,-0.18329233119775978,0.2125,402
