gene_family,amr_source,n_carriers,prevalence,esm_lr_auroc,esm_lr_auprc,frozen_lr_auroc,frozen_lr_auprc,ft_lr_auroc,ft_lr_auprc,delta_ft_minus_esm
Dfr,acquired,121,0.29086538461538464,0.6643073811931244,0.8470421058319028,0.6716596851076123,0.8538977450665545,0.6866387404304493,0.8659653660208659,0.022331359237324877
QnrB,acquired,116,0.27884615384615385,0.6572006355626174,0.8385958267824899,0.6657951755019501,0.8542037654192991,0.6648996099956667,0.8554938760838813,0.007698974433049233
ANT(3''),acquired,112,0.2692307692307692,0.6580817564639607,0.847056760253238,0.6492416582406472,0.8441642105681311,0.6832731474794165,0.8605001392946875,0.025191391015455755
MphA,acquired,100,0.2403846153846154,0.6355915065722952,0.8339525543402877,0.6437382637584862,0.8394090327240766,0.6369637440416004,0.8416966619395763,0.0013722374693051487
Mrx,acquired,100,0.2403846153846154,0.6357648418315758,0.8341648338476954,0.638711541239347,0.8365841692983133,0.63947710530117,0.8421410259476934,0.0037122634695941903
KPC,acquired,99,0.23798076923076922,0.6526794742163802,0.8477993411647392,0.6507872309692331,0.8465283858732715,0.652925032500361,0.8480310113652805,0.0002455582839808734
Cat,acquired,93,0.22355769230769232,0.631315903510039,0.8315950772616578,0.625292503250036,0.8317774218560553,0.6323414704607829,0.8353752922675289,0.0010255669507439613
TetA,acquired,84,0.20192307692307693,0.5785353170590785,0.7847066551852003,0.5778564206268959,0.8016866092784074,0.615527950310559,0.8215125715221845,0.0369926332514805
QnrS,acquired,73,0.17548076923076922,0.5907698974433049,0.7987023642027624,0.5900332225913621,0.8018358484386493,0.6038133757041744,0.814863737383947,0.01304347826086949
NDM,acquired,67,0.16105769230769232,0.5999422215802397,0.8131383473883668,0.5966344070489671,0.812452638588323,0.602888920988011,0.8137305993393146,0.0029466994077712583
Arr,acquired,66,0.15865384615384615,0.5906832298136646,0.8035440590242017,0.5961866242958255,0.7986531948621237,0.5925899176657519,0.8079038272037148,0.0019066878520872521
APH(3'),acquired,61,0.1466346153846154,0.5894554383937599,0.8062219632514944,0.5920554672829698,0.8081565510656596,0.5925610284558717,0.806858821906419,0.0031055900621117516
TetD,acquired,51,0.12259615384615384,0.5453560595117724,0.7719753848584745,0.5400982233135924,0.7733125336236499,0.5763252925032499,0.7934038734698382,0.03096923299147758
ArmA,acquired,31,0.07451923076923077,0.5315903510039,0.7652359956057972,0.5362126245847176,0.7652359956057971,0.5377437527083634,0.7684248998598867,0.006153401704463435
FloR,acquired,26,0.0625,0.5284414271269681,0.7516492172814908,0.5303192257691752,0.7575345562434741,0.5259569550772786,0.7582736693094225,-0.00248447204968949
CmlA,acquired,26,0.0625,0.5360104001155569,0.7626106477927159,0.5323992488805431,0.7622145428274658,0.5394915499061101,0.7630220435201241,0.0034811497905532507
RmtB,acquired,25,0.06009615384615385,0.5321970244113823,0.7610941946940938,0.5345659396215513,0.761094194694094,0.5337570417449082,0.7626003945562458,0.0015600173335259537
MphE,acquired,17,0.040865384615384616,0.520005777841976,0.7482166318479132,0.526592517694641,0.7513817766179297,0.5199479994222158,0.7482502378756364,-5.777841976017939e-05
MsrE,acquired,17,0.040865384615384616,0.5198902210024556,0.7468705486687839,0.5215080167557418,0.7511960152873474,0.5232413693485483,0.7493448892501946,0.003351148346092625
VEB,acquired,15,0.036057692307692304,0.5163946266069623,0.7453474121962089,0.5162790697674419,0.7446506451950943,0.5154123934710385,0.7446506451950942,-0.0009822331359238268
LAP,acquired,13,0.03125,0.5165968510761231,0.7435751457532361,0.5149501661129567,0.7419369509128945,0.5132745919399104,0.7419369509128945,-0.0033222591362126463
ANT(2''),acquired,11,0.026442307692307692,0.5146612740141556,0.740737262514498,0.5146612740141557,0.740737262514498,0.5129568106312292,0.7398801056115321,-0.0017044633829264022
APH(4),acquired,10,0.02403846153846154,0.5069334103712264,0.7376109039028553,0.5119601328903655,0.7379322829766963,0.510255669507439,0.7379322829766961,0.0033222591362125353
