gene_name,annotation,prevalence,lr_auroc_isoniazid,n_train,n_pos,kept_filtered
apt,,0.9855,0.5101466326887112,1973,988,False
speE,,0.9695,0.5101331058456663,1938,972,False
thrC,,0.9875,0.5101271208489824,1980,993,False
pstB2,,0.9835,0.5101161154116818,1966,980,False
nhaP,,0.97,0.5101095861261836,1939,964,False
mbtM,,0.9965,0.5100330453880683,1988,995,False
rpsK,,0.986,0.5100171758066495,1978,990,False
lprA,,0.996,0.5099595761063381,1987,995,False
pyrC,,0.982,0.5099326096028202,1963,981,False
mycP1,,0.996,0.5099218313791178,1985,995,False
fadE25,,0.988,0.5098002958579883,1976,988,False
vapC29,,0.9995,0.5097572522422222,1997,999,False
yajC,,0.9885,0.5097393623075297,1984,996,False
rsbU,,0.982,0.5097064127713985,1960,982,False
ubiC,,0.988,0.5096942664197086,1976,988,False
coaA,,0.994,0.5096743799643378,1987,995,False
fadE29,,0.998,0.5096670533689422,1993,997,False
atpA,,0.9875,0.5096568776095729,1986,997,False
aroQ,,0.9905,0.5096537176295199,1986,995,False
kshB,,0.9945,0.5096100461987356,1987,992,False
ipdE1,,0.9935,0.5095522488061592,1985,992,False
ctpB,,0.9965,0.5095391626869652,1990,996,False
pE16,,0.9725,0.5095371554226331,1940,971,False
ethR,,0.991,0.5095226057404738,1981,983,False
rodA,,0.989,0.509495926888257,1979,992,False
wbbL2,,0.8795,0.5094916636462486,1758,890,False
fadD21,,0.996,0.5094875181547213,1988,995,False
pPE2,,0.525,0.5094676957613826,1050,571,False
msrB,,0.9895,0.5094190520768114,1987,993,False
espG1,,0.997,0.5093314138316793,1994,996,False
gabT,,0.9745,0.5093163267984149,1952,975,False
hisF,,0.99,0.509239386696584,1984,996,False
nirD,,0.993,0.5092242708206564,1986,996,False
leuB,,0.986,0.5091849845470013,1979,993,False
truB,,0.956,0.5091815342861368,1918,956,False
dapA,,0.9885,0.5091468531754804,1977,993,False
comFC,,0.9815,0.5091447274176772,1963,982,False
ppk2,,0.992,0.5090761209635627,1986,993,False
znuB,,0.991,0.5090722540231126,1972,985,False
hbhA,,0.997,0.5090219710221126,1989,995,False
bssS,,0.1465,0.5088861651601042,290,107,False
dacB1,,0.9595,0.5088840594026802,1909,955,False
cyp125,,0.9985,0.5088641137697081,1994,996,False
comEC,,0.946,0.508843860124695,1882,930,False
lppK,,0.997,0.5087576872525474,1986,994,False
sadH,,0.9325,0.508702888349068,1865,944,False
pE35,,0.997,0.508684991221166,1991,996,False
fadE27,,0.98,0.5086518221476969,1950,971,False
pyrH,,0.9895,0.508568067380292,1986,995,False
ispH1,,0.9915,0.5085511331719622,1979,990,False
sap,,0.9965,0.5084710288387067,1989,998,False
trcR,,0.9975,0.5084423965748165,1987,994,False
hsaD,,0.9255,0.5084270583224513,1849,933,False
pth,,0.988,0.5084071533134225,1985,994,False
ftsY,,0.987,0.5083681602801392,1980,994,False
cofD,,0.989,0.5083227560086686,1980,994,False
sigH,,0.9945,0.5082929511425843,1993,997,False
fbaA,,0.9925,0.5082577032175887,1986,993,False
tehA,,0.997,0.5082429415547386,1989,996,False
espG3,,0.998,0.5082265682448102,1990,996,False
mrp,,0.9755,0.5081858050996783,1950,971,False
mobA,,0.9925,0.5081383756648297,1988,995,False
ispG,,0.9905,0.5081149793792252,1990,997,False
htdZ,,0.998,0.5080807989534168,1996,997,False
