gene_name,annotation,prevalence,lr_auroc_pyrazinamide,n_train,n_pos,kept_filtered
aroG,,0.96,0.5280766970000436,1917,965,False
devR,,1.0,0.5279426869196178,1996,997,False
ipdE1,,0.9985,0.5278901175845667,1994,996,False
higB2,,0.992,0.5278744734383451,1976,988,False
zmp1,,0.994,0.5278615297018768,1987,993,False
bDS1,,0.991,0.5278423126015849,1980,987,False
qcrA,,0.9955,0.527751285703938,1994,998,False
secBL,,1.0,0.5277046555422402,1993,995,False
istB,,0.2645,0.5276288777372262,530,274,False
ald,,0.978,0.5275948761549436,1957,971,False
pPE63,,0.9905,0.5275574571627203,1978,988,False
comEA,,0.9915,0.5274112583323108,1978,990,False
pPE16,,0.689,0.5273784305114229,1376,594,False
pgsA1,,0.999,0.527336280197376,1992,995,False
gdh,,0.9815,0.527323667902991,1962,991,False
lppH,,0.9935,0.5272909356413157,1984,991,False
moxR1,,0.9975,0.5272733949088992,1994,997,False
ilvD,,0.988,0.5271777430523639,1979,990,False
trxB,,0.9875,0.5271772878987813,1979,991,False
hycE1,,0.9355,0.5269572625955603,1864,940,False
pimC,,0.42,0.5269465174129354,836,300,False
chsB1,,0.951,0.5268627411651702,1895,966,False
apa,,0.9875,0.526850825326435,1974,984,False
dosT,,0.7075,0.5267889539235383,1412,579,False
fadD1,,0.9895,0.5267416723582389,1975,982,False
caeB,,0.996,0.5267078363706083,1991,996,False
cDA1,,0.994,0.5266673609580411,1989,998,False
rnj,,0.9875,0.5266393527107813,1970,980,False
mycP,,0.1965,0.5264925469529049,394,187,False
pyrG,,0.99,0.5263270015615381,1981,993,False
idsA1,,0.9975,0.5262955863859479,1986,990,False
rplA,,0.9865,0.5262898527633428,1979,992,False
vapC24,,0.9985,0.5262723169508525,1997,1000,False
ddlA,,0.995,0.526267457296747,1986,993,False
yccF,,0.995,0.5261843491651809,1987,995,False
ephD,,0.997,0.5260073359570547,1994,998,False
lgt,,0.9885,0.5260064303689904,1979,992,False
acoA,,0.992,0.5259295464149522,1982,995,False
sdhC,,0.9925,0.5258970910892491,1989,994,False
ychF,,0.986,0.5258729757085022,1980,992,False
lipN,,0.9955,0.5258249277198453,1985,993,False
espE,,0.8225,0.5257314551755938,1641,851,False
rsbU,,0.985,0.5257258469292186,1966,985,False
sigM,,0.9965,0.5257188392122707,1992,996,False
pE_PGRS60,,0.558,0.5257145451950647,1111,539,False
mtr,,0.983,0.5256891670081904,1961,979,False
divIVA,,0.991,0.5256642808118442,1979,987,False
acs,,0.9905,0.5256347661227028,1981,995,False
pimB,,0.9985,0.5256276381909546,1995,1000,False
fadE34,,0.9925,0.5255831222598594,1983,993,False
glpX,,0.9935,0.5255348025266897,1991,995,False
uppP,,0.9925,0.5254806954174849,1990,996,False
fadE27,,0.9885,0.5253833920313,1970,987,False
rfaB,,0.977,0.5253602027978909,1955,986,False
ispH1,,0.992,0.5252852007807375,1980,989,False
desA3,,0.9925,0.5252138072320498,1984,992,False
dtd,,0.9845,0.5251195730646803,1975,992,False
hyuB,,0.991,0.525093867972656,1980,990,False
secD,,0.9925,0.5249919962392455,1987,991,False
mycP5,,0.996,0.5248942141974506,1984,992,False
etfA,,0.993,0.5246939173698844,1984,996,False
sap,,0.9995,0.5246175081085865,1994,996,False
pPE12,,0.9895,0.5246062506171619,1972,984,False
mET17,,0.996,0.524587257897528,1990,995,False
cdsA,,0.993,0.5244250569004338,1985,994,False
mqo,,0.991,0.5244022890192245,1982,990,False
lppL,,0.998,0.5243772252755008,1992,994,False
bkdB,,0.9975,0.5243574657205627,1990,995,False
ahpD,,0.9965,0.524339819860786,1994,997,False
citA,,0.992,0.5242256569721359,1984,994,False
lepB,,0.9895,0.524158394266868,1982,991,False
kdpB,,0.9915,0.5241541341957132,1987,996,False
pepN,,0.974,0.5237319801055316,1950,978,False
proS,,0.991,0.5236116007926762,1987,996,False
htpG,,0.9905,0.5235990988381841,1984,993,False
gcvP,,0.995,0.5235979842851818,1990,997,False
esxH,,0.998,0.5235373459086938,1989,992,False
yadH,,0.993,0.5234047791279399,1987,994,False
fadD17,,0.9935,0.5231818418343452,1980,991,False
drrB,,0.9975,0.5231105325825917,1991,996,False
vapC36,,0.993,0.5230659894126337,1980,982,False
rho,,0.9915,0.5230453070179875,1989,995,False
ydfJ,,0.46,0.5229303720090819,920,386,False
pPE29,,0.942,0.5228734745724266,1878,940,False
thiO,,0.989,0.5228634856954145,1981,993,False
lpqS,,0.997,0.5227794947324368,1994,996,False
secY,,0.989,0.5227266267095474,1985,992,False
ydhS,,0.9935,0.5227216667176304,1981,990,False
esxQ,,0.9375,0.5226766391746194,1868,919,False
dnaN,,0.9885,0.5226718861715237,1986,995,False
tcrY,,0.996,0.5226575086487716,1990,995,False
cysK,,0.9805,0.5226514399721515,1962,985,False
ansP,,0.9725,0.5226127863672987,1945,978,False
pPE49,,0.9185,0.5225874554493656,1830,931,False
lipB,,0.9925,0.52254200606867,1986,992,False
car,,0.996,0.5225128000209887,1991,998,False
hemQ,,0.9905,0.5225026243238493,1984,993,False
chp2,,0.998,0.522490464370043,1991,996,False
tgs3,,0.4675,0.5223414542109855,934,389,False
glmS,,0.988,0.5222751471000281,1985,996,False
tilS,,0.9925,0.5221192754996993,1981,990,False
mesT,,0.986,0.5221161383877622,1968,991,False
ipdE2,,0.9965,0.5220807778397292,1990,994,False
lppJ,,0.996,0.5220516648276758,1986,994,False
narH,,0.992,0.5220034153884494,1979,993,False
pcp,,0.995,0.5219551716739066,1988,994,False
ctpI,,0.834,0.5219382618908489,1663,827,False
