gene_name,annotation,prevalence,lr_auroc_streptomycin,n_train,n_pos,kept_filtered
hutI,,0.3745,0.561404612159329,755,530,False
papA3,,0.9965,0.5613844018069734,1981,992,False
fadD22,,0.9875,0.5610188865159924,1970,988,False
topA,,0.9825,0.5608989369354479,1980,993,False
drrB,,0.9965,0.5608701136203104,1991,995,False
ureC,,0.983,0.5606611628112907,1971,989,False
pE_PGRS62,,0.988,0.5606356026924318,1966,988,False
yqfO,,0.991,0.5601955860975287,1976,989,False
yhbS,,0.9895,0.5601175803186627,1980,988,False
echA12,,0.9965,0.5595808186661952,1990,995,False
tcrY,,0.9975,0.5594026470380069,1989,995,False
aceA,,0.9895,0.5591638413724491,1986,997,False
cyp128,,0.99,0.559087495885451,1972,992,False
nusA,,0.981,0.5590791279939352,1976,990,False
fadD11,,0.994,0.558723693831748,1986,989,False
coxL,,0.9905,0.5583786453242099,1982,990,False
mfd,,0.981,0.5582578571940273,1977,990,False
fadE29,,0.995,0.5580803368598688,1986,994,False
lppB,,0.5665,0.5580759710522234,1131,413,False
eccA1,,0.9975,0.5579317269076305,1991,995,False
arcA,,0.991,0.5579234407845047,1977,991,False
rpsI,,0.9785,0.5578414957874859,1971,993,False
ycgM,,0.9895,0.5578273184458373,1975,992,False
cpnT,,0.9675,0.5577871487665302,1932,970,False
mycP2,,0.7955,0.5577676758060421,1588,808,False
metK,,0.977,0.5576530612244899,1967,987,False
htdX,,0.9985,0.557606704901294,1997,998,False
amrS,,0.997,0.5573031151734528,1989,994,False
aTH1,,0.9805,0.5569761558408702,1948,978,False
cmr,,0.987,0.5567403706034312,1966,992,False
sucD,,0.983,0.5565964210634262,1975,990,False
ldcC,,0.985,0.5565903997820947,1969,988,False
pimB,,0.999,0.5565735725158698,1988,996,False
rlmN,,0.912,0.5565514580754494,1839,941,False
prpB,,0.989,0.5562753178177715,1971,993,False
yobV,,0.985,0.5561481897405509,1965,988,False
mez,,0.9985,0.5561190614095809,1991,997,False
smc,,0.975,0.5560647787885336,1953,982,False
eccB1,,0.993,0.5560119013071276,1982,993,False
pPE61,,0.967,0.5559283911688898,1928,973,False
guaA,,0.982,0.555673305223514,1977,992,False
gmhB,,0.9905,0.5556188711548528,1980,989,False
frsA,,0.992,0.5556117290192113,1980,989,False
mptA,,0.998,0.5555324651569272,1984,995,False
cgoX,,0.967,0.5554754310038245,1912,965,False
pyrG,,0.985,0.5551502559642961,1975,992,False
zwf,,0.981,0.5550983611302949,1967,988,False
purB,,0.981,0.5545002880184331,1972,992,False
pknH,,0.987,0.5544296757631288,1969,993,False
pPE63,,0.9935,0.5543352877510498,1983,992,False
eccC2,,0.613,0.554323835561821,1224,459,False
ctpA,,0.984,0.5542552509583851,1967,988,False
fhaA,,0.9975,0.5540981834783802,1990,996,False
cds1,,0.9965,0.5540023847417259,1982,993,False
lppA,,0.457,0.5539495798319328,911,350,False
lipM,,0.994,0.5537463693451028,1986,992,False
nadC,,0.986,0.5537204051757569,1985,994,False
eccE1,,0.992,0.5536998982747563,1979,991,False
modA,,0.9845,0.5535270644763061,1976,995,False
xylB,,0.98,0.55326491043028,1961,983,False
hepA,,0.9335,0.5531858735628182,1857,942,False
ipdE1,,0.9975,0.5528531210268209,1991,995,False
lysM,,0.934,0.5528003922373493,1873,933,False
proC,,0.9805,0.5527779256026821,1977,989,False
cobK,,0.988,0.5527699484936963,1968,989,False
infB,,0.9855,0.5527321888630973,1980,995,False
ndhA,,0.968,0.5527028331742063,1931,961,False
divIVA,,0.9915,0.552496114996115,1978,990,False
tsaC,,0.988,0.5524856699399137,1976,995,False
dagK,,0.9955,0.552391513089096,1982,993,False
lON,,0.989,0.5521974648100654,1977,986,False
rarA,,0.9885,0.5519524885956338,1982,990,False
fadD1,,0.997,0.5518747511651327,1982,993,False
pknG,,0.9945,0.5517485578121296,1987,993,False
pE_PGRS11,,0.969,0.5517001917768165,1929,968,False
pssA,,0.9895,0.5514991347833311,1987,996,False
zur,,0.9965,0.5514075352010953,1983,994,False
nuoI,,0.989,0.551404428289778,1986,998,False
hdeD,,0.992,0.5513994236053527,1984,996,False
folD,,0.9815,0.5511927141225343,1976,991,False
eccE5,,0.998,0.5510985102534398,1984,994,False
yafJ,,0.9945,0.5510719344353564,1977,993,False
pPE62,,0.883,0.5509046298877633,1762,918,False
nlhH,,0.979,0.5507915954272687,1954,976,False
lppL,,0.996,0.5507695519135699,1982,995,False
vapC12,,0.991,0.5507158793188144,1977,992,False
lpqO,,0.9955,0.5506765492553716,1990,996,False
lrpA,,0.9965,0.5506063489369956,1990,996,False
manC,,0.9885,0.5504133799176159,1959,976,False
purT,,0.9915,0.5503344131826646,1980,995,False
btlA,,0.992,0.5502502225906482,1977,990,False
tig,,0.9845,0.5502455227748827,1978,991,False
pra,,0.983,0.5499375310384484,1956,981,False
ispF,,0.9905,0.5499281828428201,1983,996,False
pbpB,,0.9985,0.5498825433178619,1985,996,False
lprB,,0.994,0.5498401915666719,1983,996,False
dacB,,0.992,0.5497896005474473,1979,994,False
lpqB,,0.9965,0.5497194515290018,1990,995,False
rfbD,,0.989,0.5496619758998886,1983,994,False
dhmA2,,0.9955,0.5495886478167473,1985,996,False
glpK,,0.9575,0.5495508637484967,1924,961,False
pPE68,,0.997,0.549508900794324,1990,994,False
fadD4,,0.9965,0.549506954598736,1993,997,False
sufD,,0.984,0.5494977110885045,1975,992,False
ipdA,,0.998,0.5494976895533943,1992,996,False
wag22,,0.2095,0.5493860182370821,410,175,False
ripA,,0.999,0.5491997033183719,1995,998,False
lppV,,0.997,0.5491503236285181,1990,994,False
purE,,0.9865,0.549103445441187,1973,990,False
mngB,,0.953,0.5490869543168474,1905,966,False
der,,0.981,0.5490517770758094,1972,989,False
kdpC,,0.987,0.549000513764172,1977,994,False
gltX,,0.982,0.5489018639992148,1978,992,False
proB,,0.983,0.5487746791315122,1974,991,False
espG,,0.9975,0.5486373607744763,1991,997,False
dacB2,,0.997,0.5485999989878901,1988,995,False
rplO,,0.9825,0.548172410958341,1973,993,False
purL,,0.9825,0.5480881413799032,1977,993,False
