gene_name,esm_lr_auroc,frozen_lr_auroc,ft_lr_auroc,delta_ft_minus_esm,prevalence,n_carriers_esm,n_carriers_ft,selection_esm_lr_auroc
rbbA,0.7611889266176193,0.810483870967742,0.988139030371628,0.2269501037540087,0.9405331510594668,410,410,0.7971867676836621
cpdB,0.7681451612903225,0.8544967930579136,0.9904617053386153,0.22231654404829282,0.9521531100478468,409,409,0.7962061747776034
gspJ,0.7805131107338238,0.8632569326542162,0.9886106395019808,0.20809752876815701,0.9521531100478468,412,412,0.79601164880668
pgtC,0.7390115072627805,0.8070529145444254,0.9853919071873231,0.24638039992454253,0.9159261790840738,390,390,0.7941141674060928
pulA,0.7952508960573477,0.8412799471797774,0.9865591397849462,0.19130824372759858,0.9282296650717704,405,405,0.7940959661456555
mhpA,0.7874221844934918,0.8423410677230712,0.9865119788719109,0.19908979437841912,0.9501025290498974,411,411,0.7926910563556526
bcsC,0.7586776079984909,0.8479767968307866,0.9892708922844745,0.23059328428598358,0.9501025290498974,412,412,0.792316792937911
gndA,0.7279051122429729,0.7450481041312962,0.9961092246745896,0.2682041124316167,0.9521531100478468,412,412,0.7912281300480059
yfaS,0.7403084323712507,0.822851820411243,0.9845430107526882,0.24423457838143758,0.9466848940533152,409,409,0.789469433258253
gyrA,0.7864318053197511,0.8290652707036409,0.994458592718355,0.20802678739860392,0.9521531100478468,412,412,0.7892271289786816
hpxW,0.7782375966798718,0.8410087719298246,0.9944468024900962,0.2162092058102244,0.9405331510594668,407,407,0.7882112711305258
nirB,0.7317369364270893,0.8760729107715526,0.9868774759479344,0.25514053952084514,0.9419002050580998,406,406,0.7878370077127842
fimK,0.7610710243350313,0.8383323901150725,0.9785182041124316,0.21744717977740036,0.898838004101162,386,386,0.7876845721566219
walK,0.7474061497830596,0.8167798528579513,0.9929258630447085,0.2455197132616489,0.9460013670539986,411,411,0.7869553841603532
sbcB,0.7542798528579514,0.7883418222976797,0.9960620637615545,0.24178221090360308,0.9521531100478468,411,411,0.7869098810092598
yegD,0.7110215053763441,0.8439209583097529,0.9947179777400491,0.283696472363705,0.9514695830485304,412,412,0.7869076058517053
selO,0.7969368986983588,0.8661101678928504,0.9884219958498397,0.19148509715148088,0.9521531100478468,412,412,0.786775646713535
dcp,0.7588544614223731,0.8304683078664403,0.9907918317298623,0.23193737030748918,0.9412166780587832,409,409,0.7861272268104567
ybbP,0.7027093944538767,0.8471514808526693,0.9922891907187323,0.28957979626485564,0.9514695830485304,412,412,0.78608741155325
tssC,0.7224816072439162,0.826447840030183,0.97014714204867,0.24766553480475384,0.8270676691729323,355,355,0.7860783109230314
hrpA,0.750129692510847,0.8159781173363517,0.9861346915676288,0.23600499905678174,0.9460013670539986,409,409,0.7860646599777035
puuC,0.7209842482550461,0.8441803433314469,0.9893416336540275,0.26835738539898135,0.9514695830485304,411,411,0.7858610333765614
benC,0.7136389360498019,0.8320246179966044,0.9886931710997925,0.2750542350499906,0.9446343130553656,410,410,0.7857757149682616
ynjC,0.7491039426523297,0.8535064138841729,0.9830338615355593,0.23392991888322956,0.9412166780587832,409,409,0.7855766386822287
dgcQ,0.7229650066025278,0.8236889266176193,0.9973118279569892,0.2743468213544614,0.9473684210526316,412,412,0.7850954428594181
zraR,0.7613186191284664,0.8693878513488021,0.9912280701754386,0.22990945104697214,0.9357484620642516,408,408,0.7845152776829796
ade,0.78903744576495,0.8480003772873043,0.9937040181097906,0.20466657234484054,0.950786056049214,412,412,0.7844697745318863
sbcC,0.7395066968496511,0.847104319939634,0.963238068289002,0.22373137143935096,0.8038277511961722,333,333,0.783452779104953
entF,0.7549165251839276,0.8080315034899076,0.9864176570458404,0.2315011318619128,0.950786056049214,410,410,0.7823038245398495
urtB,0.7242265610262215,0.8245496132805131,0.9670345217883418,0.2428079607621203,0.8243335611756665,352,352,0.7821661775077924
ydbH,0.7110450858328617,0.8467034521788341,0.9896245991322391,0.27857951329937736,0.9514695830485304,412,412,0.7814551907719609
paaD,0.7764572722127899,0.8392991888322958,0.9887521222410867,0.21229485002829673,0.9521531100478468,412,412,0.7813505335244464
tadD,0.733316827013771,0.8202225995095266,0.9800273533295605,0.2467105263157895,0.898838004101162,387,387,0.7806804996245991
parC,0.7477952273156008,0.8491558196566686,0.9828570081116771,0.23506178079607631,0.950786056049214,412,412,0.7799683753099902
tynA,0.7462860780984719,0.8248797396717601,0.9875377287304282,0.2412516506319563,0.949419002050581,411,411,0.7799069460560144
